Time [s],Strain,Stress [MPa],Displacement [nm],Load [mN]
0,0,3.029284126,0,0.017862038
0.05,0.00015468,3.373642211,0.881677276,0.01989253
0.1,0.000118499,3.574408397,0.675444571,0.021076339
0.15,0.000277723,3.333702162,1.583020717,0.019657026
0.2,0.000282348,4.056379362,1.609381799,0.023918259
0.25,0.000198231,4.319039276,1.129918744,0.025467022
0.3,0.000373571,4.500427338,2.1293541,0.026536568
0.35,0.000419295,6.002996518,2.389978837,0.0353964
0.4,0.000467297,3.448736056,2.663594066,0.020335318
0.45,0.000409568,2.92718267,2.334538021,0.017260002
0.5,0.000682569,5.110621614,3.890644166,0.030134552
0.55,0.000679496,5.515110018,3.873128812,0.032519599
0.6,0.000706203,5.296921163,4.025355902,0.031233059
0.65,0.000722113,5.370334318,4.11604253,0.031665936
0.7,0.00059359,4.376439159,3.383460375,0.025805478
0.75,0.00081756,6.184833891,4.660091602,0.036468596
0.8,0.000935629,6.63110153,5.333086072,0.039099993
0.85,0.00083903,7.705549816,4.782473114,0.04543543
0.9,0.000928027,7.160180715,5.289756639,0.042219685
0.95,0.000761337,7.669562904,4.33962077,0.045223234
1,0.000954055,8.493703962,5.438112589,0.050082745
1.05,0.001156348,8.996613857,6.591185863,0.053048131
1.1,0.001034961,8.79962467,5.899279263,0.051886593
1.15,0.001108496,9.374621187,6.318426807,0.055277034
1.2,0.001106013,8.527883501,6.304273293,0.050284283
1.25,0.001100354,9.111871468,6.27201823,0.053727742
1.3,0.001160777,9.388251094,6.61642774,0.055357402
1.35,0.001236424,11.5617103,7.047616518,0.068173107
1.4,0.00120514,9.683998287,6.869300186,0.057101263
1.45,0.001289651,9.238910978,7.351010483,0.054476825
1.5,0.001304896,10.89150559,7.437905523,0.064221275
1.55,0.001514714,11.85117725,8.633870109,0.069879936
1.6,0.001524222,12.82877367,8.688063357,0.07564429
1.65,0.001390984,12.16316331,7.928607967,0.071719548
1.7,0.001570964,12.73583445,8.954495777,0.075096278
1.75,0.001576764,13.51131704,8.987553671,0.079668876
1.8,0.001667622,13.91491405,9.50544747,0.082048668
1.85,0.001680615,16.35521003,9.579505015,0.096437764
1.9,0.001791767,16.02350412,10.2130712,0.094481875
1.95,0.001867004,15.35570404,10.64192557,0.090544222
2,0.001836094,14.95315171,10.46573446,0.08817059
2.05,0.001817325,14.95567969,10.35875326,0.088185496
2.1,0.00189785,15.23178802,10.81774693,0.089813556
2.15,0.001947308,15.96791364,11.09965712,0.094154088
2.2,0.002013524,17.05086892,11.47708717,0.100539686
2.25,0.002031658,16.37456183,11.58044935,0.096551871
2.3,0.001972096,16.22948664,11.24094659,0.095696442
2.35,0.001969741,18.04330725,11.2275259,0.106391554
2.4,0.002149753,15.63021642,12.2535916,0.092162872
2.45,0.002139944,16.58246626,12.19768032,0.09777777
2.5,0.0022678,17.59806318,12.9264579,0.103766192
2.55,0.002490603,18.67749164,14.19643849,0.110130994
2.6,0.002346736,18.4437034,13.37639338,0.108752472
2.65,0.002420584,18.66985493,13.79732642,0.110085964
2.7,0.002419247,17.85073107,13.78970738,0.105256037
2.75,0.002397449,17.61517941,13.66545666,0.103867117
2.8,0.002434259,18.45666389,13.87527825,0.108828893
2.85,0.002414984,20.10737883,13.76540938,0.118562259
2.9,0.002629538,17.49765818,14.98836563,0.103174158
2.95,0.002635493,16.91111056,15.02231276,0.099715607
3,0.002552223,16.66771077,14.54767008,0.098280411
3.05,0.002757254,18.65620578,15.7163475,0.110005483
3.1,0.002649454,17.621229,15.10188756,0.103902788
3.15,0.002842883,19.49783473,16.20443525,0.11496811
3.2,0.002911818,20.16495485,16.59736528,0.118901754
3.25,0.00291229,19.93560419,16.60005126,0.117549398
3.3,0.002813059,20.61245213,16.03443602,0.121540402
3.35,0.002891351,24.77307983,16.48070263,0.146073357
3.4,0.00284521,29.63889683,16.21769543,0.174764429
3.45,0.003127087,30.93369377,17.82439518,0.182399141
3.5,0.003188974,32.22457632,18.17715249,0.190010772
3.55,0.003111262,31.35844113,17.73419524,0.184903645
3.6,0.003203491,31.62575179,18.25990034,0.18647983
