0;1;2;3;4;5;6;7;8
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620A.xml;Doc625;;Reprises;;PremierNiveau;;Note: Callout Required = NO This job is rerunnable.  No Callout to TS support if this job fails.;Note: Callout Required = NO This job is rerunnable.  No Callout to TS support if this job fails.
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620A.xml;Doc625;;Reprises;;DeuxiemeNiveau;;Note: If this job (UDATA backup) fails, access job NBMY622A via Zeke, enter line cmd WHY for that job, tab to the left of EOJ NBMY620A, type X, hit Enter, hit F3. This will let the tape backup of this server proceed. Do not call TS support if this job fails and advise via email with the associated Heat ticket number. The job should not be run during office hours.;Note: If this job (UDATA backup) fails, access job NBMY622A via Zeke, enter line cmd WHY for that job, tab to the left of EOJ NBMY620A, type X, hit Enter, hit F3. This will let the tape backup of this server proceed. Do not call TS support if this job fails and advise via email with the associated Heat ticket number. The job should not be run during office hours.
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620A.xml;Etapes;;Etape;;RepriseAutomatique;;ETAPE0010;ETAPE0010
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620A.xml;Etapes;;Etape;;RepriseManuelle;;ETAPE0010;ETAPE0010
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620A.xml;Etapes;;Etape;;RepriseAutomatique;;ETAPE0020;ETAPE0020
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620A.xml;Etapes;;Etape;;RepriseManuelle;;ETAPE0020;ETAPE0020
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620H.xml;Doc625;;Reprises;;PremierNiveau;;Note: Callout Required = NO This job is rerunnable.  No Callout to TS support if this job fails.;Note: Callout Required = NO This job is rerunnable.  No Callout to TS support if this job fails.
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620H.xml;Doc625;;Reprises;;DeuxiemeNiveau;;Note: If this job (UDATA backup) fails, access job NBMY622H via Zeke, enter line cmd WHY for that job, tab to the left of EOJ NBMY620H, type X, hit Enter, hit F3. This will let the tape backup of this server proceed. Do not call TS support if this job fails and advise via email with the associated Heat ticket number. The job should not be run during office hours.;Note: If this job (UDATA backup) fails, access job NBMY622H via Zeke, enter line cmd WHY for that job, tab to the left of EOJ NBMY620H, type X, hit Enter, hit F3. This will let the tape backup of this server proceed. Do not call TS support if this job fails and advise via email with the associated Heat ticket number. The job should not be run during office hours.
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620H.xml;Etapes;;Etape;;RepriseAutomatique;;ETAPE0010;ETAPE0010
C:\Users\LI2BTL\OneDrive - Industrial Alliance\Documents\Batch 1\MODIFIED 625\OUT\XML\NBMY620H.xml;Etapes;;Etape;;RepriseManuelle;;ETAPE0010;ETAPE0010
